symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2020-05-12,182.51,187.04,182.3,186.8,32038199,180.2584861837,184.7326023549,180.0510768247,184.4955630876,32038199,0.0,1.0
MSFT,2020-05-13,179.75,184.05,176.54,182.55,44711488,177.5325346092,181.7794881492,174.3621344083,180.2979927282,44711488,0.0,1.0
MSFT,2020-05-14,180.53,180.69,175.68,177.54,41873911,178.302912228,178.4609384063,173.5127437003,175.3497980223,41873911,0.0,1.0
MSFT,2020-05-15,183.16,187.06,177.0,179.06,46610382,180.9004675328,184.7523556272,174.8164596708,176.8510467155,46610382,0.0,1.0
MSFT,2020-05-18,184.91,186.2,183.96,185.75,35306620,182.6288788572,183.9029649192,181.6905984239,183.4585162929,35306620,0.0,1.0
MSFT,2020-05-19,183.63,186.6,183.49,185.03,26799116,181.3646694313,184.2980303648,181.2263965254,182.7473984909,26799116,0.0,1.0
MSFT,2020-05-20,185.66,185.85,183.94,184.81,31261334,183.8733350108,184.0615065806,182.1698871156,183.03151483,31261334,0.51,1.0
MSFT,2020-05-21,183.43,186.67,183.29,185.4,29032741,181.6647950071,184.8736154608,181.5261422715,183.6158370731,29032741,0.0,1.0
MSFT,2020-05-22,183.51,184.46,182.54,183.19,20826898,181.7440251418,182.6848829909,180.7833597591,181.4271046032,20826898,0.0,1.0
MSFT,2020-05-26,181.57,186.5,181.1,186.34,36073609,179.8226943763,184.7052514247,179.3572173352,184.5467911554,36073609,0.0,1.0
MSFT,2020-05-27,181.81,181.99,176.6,180.2,39517146,180.0603847803,180.2386525833,174.9005222606,178.4658783203,39517146,0.0,1.0
MSFT,2020-05-28,181.4,184.15,180.38,180.74,33831824,179.6543303402,182.3778662191,178.6441461233,179.0006817292,33831824,0.0,1.0
MSFT,2020-05-29,183.25,184.27,180.41,182.73,42146720,181.4865272042,182.4967114211,178.6738574237,180.9715313289,42146720,0.0,1.0
MSFT,2020-06-01,182.83,183.0,181.46,182.54,22668821,181.0705689972,181.2389330333,179.7137529412,180.7833597591,22668821,0.0,1.0
MSFT,2020-06-02,184.91,185.0,181.35,184.25,30794585,183.1305524983,183.2196863998,179.604811506,182.4769038874,30794585,0.0,1.0
MSFT,2020-06-03,185.36,185.94,183.58,184.82,27311016,183.5762220058,184.1506404821,181.8133515096,183.0414185968,27311016,0.0,1.0
MSFT,2020-06-04,182.92,185.84,182.3,184.3,28761809,181.1597028987,184.0516028138,180.5456693551,182.5264227216,28761809,0.0,1.0
MSFT,2020-06-05,187.2,187.73,182.01,182.62,39893643,185.398515103,185.9234147451,180.2584601169,180.8625898937,39893643,0.0,1.0
MSFT,2020-06-08,188.36,188.55,184.44,185.94,33211590,186.5473520555,186.7355236253,182.6650754572,184.1506404821,33211590,0.0,1.0
MSFT,2020-06-09,189.8,190.7,187.26,188.0,29783916,187.9734944794,188.8648334943,185.457937704,186.1908164496,29783916,0.0,1.0
MSFT,2020-06-10,196.84,198.52,191.01,191.13,43872329,194.9457463294,196.6095791573,189.1718502661,189.2906954681,43872329,0.0,1.0
MSFT,2020-06-11,186.27,195.76,186.07,193.13,52854672,184.4774647875,193.8761395115,184.2793894509,191.2714488346,52854672,0.0,1.0
MSFT,2020-06-12,187.74,191.72,185.18,190.54,43373587,185.9333185119,189.8750177112,183.3979542028,188.706373225,43373587,0.0,1.0
MSFT,2020-06-15,188.94,190.82,184.01,184.58,32770189,187.1217705318,188.9836786963,182.2392134834,182.8037281929,32770189,0.0,1.0
MSFT,2020-06-16,193.57,195.58,191.46,192.89,42556656,191.7072145752,193.6978717085,189.6175197736,191.0337584306,42556656,0.0,1.0
